lesson_id,chapter,lesson_question,match_count,matched_quiz_ids,matched_quiz_questions
1446ef07-5dbc-48de-9444-f610ccb6bcc0,고관절 근육 (굴곡/신전/외전/외회전),고관절 ROM과 장요근 Iliopsoas,3,1eed6137-9a30-4bff-8684-568713152dcc;6953d637-18f6-4b1b-809b-4e4bed4f9d8c;16b5824e-580c-48d1-9817-c7edef143cae,Iliopsoas (장요근) 근육의 주 움직임(Action)은 무엇인가? | 대둔근(Gluteus maximus)의 Action에는 고관절 외회전(External ro | 중둔근(Gluteus medius)의 전방섬유(anterior fiber)는 고관절 외회전
5f1d201c-b516-4d24-a0af-0b5579e69c98,고관절 근육 (굴곡/신전/외전/외회전),"둔근 3형제: 대둔근, 중둔근, 소둔근",3,6953d637-18f6-4b1b-809b-4e4bed4f9d8c;16b5824e-580c-48d1-9817-c7edef143cae;1eed6137-9a30-4bff-8684-568713152dcc,대둔근(Gluteus maximus)의 Action에는 고관절 외회전(External ro | 중둔근(Gluteus medius)의 전방섬유(anterior fiber)는 고관절 외회전 | Iliopsoas (장요근) 근육의 주 움직임(Action)은 무엇인가?
4c9e3509-61ba-4f77-b395-1c11dcb46a20,고관절 근육 (굴곡/신전/외전/외회전),대퇴근막장근(TFL)과 고관절 외회전근군,3,6953d637-18f6-4b1b-809b-4e4bed4f9d8c;16b5824e-580c-48d1-9817-c7edef143cae;1eed6137-9a30-4bff-8684-568713152dcc,대둔근(Gluteus maximus)의 Action에는 고관절 외회전(External ro | 중둔근(Gluteus medius)의 전방섬유(anterior fiber)는 고관절 외회전 | Iliopsoas (장요근) 근육의 주 움직임(Action)은 무엇인가?
b06c084a-75b1-4595-9dd2-17c22fa69efc,동작과 근육,체간 동작과 관여근육,0,,
51de8e50-7ddb-4ccd-8246-d81e80b23006,동작과 근육,어깨(견갑골 포함) 동작과 관여근육,1,e63b906c-8d3f-4b05-aa05-5f5e75bdef53,어깨관절을 머리 위로 완전히 들어올릴 때 견갑골이 함께 상방회전하지 않으면 발생할 수 있는
65e389c1-5c67-4b50-8a1a-cf6ea3374a63,동작과 근육,고관절 동작과 관여근육,3,5a9f1aa4-d1b8-401e-ae50-ee78b7693e59;4875461b-3701-47d2-8fb7-097a9329c9cd;1fd980d9-0bbc-46fb-bd88-82c19a8a0063,한 발로 서는 동작에서 골반을 수평으로 유지하는 데 가장 중요한 고관절 외전근은? | 대퇴직근은 무릎관절만 지나가는 단관절근이다. | 고관절 신전근인 대둔근이 약화되면 걷기 동작에서 고관절 신전 기능이 다른 근육으로 보상될 
d14ff12d-c048-4e1d-9eb7-e64a4dff4b2f,동작과 근육,무릎 동작과 관여근육,4,06fae99a-6f6d-4894-9e8d-ca2e2e0ad197;5a9f1aa4-d1b8-401e-ae50-ee78b7693e59;4875461b-3701-47d2-8fb7-097a9329c9cd;1fd980d9-0bbc-46fb-bd88-82c19a8a0063,무릎을 살짝 굴곡시켜 완전 신전 잠김을 풀어주는 역할을 하는 근육은 슬와근이다. | 한 발로 서는 동작에서 골반을 수평으로 유지하는 데 가장 중요한 고관절 외전근은? | 대퇴직근은 무릎관절만 지나가는 단관절근이다.
9ab047d4-3044-4afb-ba75-6415fb04abde,동작과 근육,발목 동작과 관여근육,1,d11c584f-dfc3-40f1-8f68-f323cfd84eda,발목 저측굴곡과 내번에 동시에 관여하며 발의 아치 지지에도 기여하는 근육은?
96cb2453-7603-4e78-a0e1-ed2ae3b44c42,촉지란?,촉지(Palpation)란 무엇인가,1,057f9798-653d-42af-b4b8-847fbc12c22f,촉지(Palpation)의 정의에 포함되는 요소로 옳지 않은 것은?
fd914a54-b62e-4778-9893-11cd164b719c,촉지란?,촉지를 위한 손 사용법,1,0d503aee-a53f-4d7c-b8e4-1e7a1a99cc5d,작은 뼈 구조물을 촉지할 때는 손바닥 전체를 사용하는 것이 손가락 끝을 사용하는 것보다 정
